image_name,bbox_index,total_bboxes,center_x,center_y,width,height,angle_deg,long_side,short_side,contour_area,bbox_area,perimeter,fill_ratio,positive_pixels,area_ratio,side_ratio,area_cutoff,side_cutoff,is_outlier,scenario,median_contour_area,median_long_side,cfg_seg_close_kernel_dims,cfg_seg_min_contour_area,cfg_seg_median_area_threshold,cfg_seg_outlier_area_ratio,cfg_seg_outlier_side_ratio
IMG_3360.jpg,1,6,1079.6,1127.9,966.8,602.1,-75.48,966.8,602.1,123826,582095,3137.8,0.2127,54954,1.337,0.554,185181.0,2792.4,False,none,92590.5,1745.2,"(16, 16)",500,0.2,2,1.6
IMG_3360.jpg,2,6,443.1,1223.5,1346.7,118.9,-70.35,1346.7,118.9,120613,160160,2931.2,0.7531,121959,1.303,0.772,185181.0,2792.4,False,none,92590.5,1745.2,"(16, 16)",500,0.2,2,1.6
IMG_3360.jpg,3,6,2537.5,1156.2,1882.9,202.3,-82.01,1882.9,202.3,104005,381003,4170.6,0.273,95691,1.123,1.079,185181.0,2792.4,False,none,92590.5,1745.2,"(16, 16)",500,0.2,2,1.6
IMG_3360.jpg,4,6,3252.5,1220.2,92.0,1964.6,-9.62,1964.6,92.0,81176,180826,4113.2,0.4489,83140,0.877,1.126,185181.0,2792.4,False,none,92590.5,1745.2,"(16, 16)",500,0.2,2,1.6
IMG_3360.jpg,5,6,1733.3,1086.8,149.3,1772.4,-0.3,1772.4,149.3,76417,264682,3843.4,0.2887,78255,0.825,1.016,185181.0,2792.4,False,none,92590.5,1745.2,"(16, 16)",500,0.2,2,1.6
IMG_3360.jpg,6,6,2121.3,1080.0,1718.1,202.9,-88.62,1718.1,202.9,31896,348513,3841.9,0.0915,35197,0.344,0.984,185181.0,2792.4,False,none,92590.5,1745.2,"(16, 16)",500,0.2,2,1.6
IMG_3361.jpg,1,6,1048.9,1347.8,1085.4,673.7,-78.88,1085.4,673.7,159146,731267,3518.2,0.2176,69709,1.688,0.589,188605.0,2946.2,False,none,94302.5,1841.4,"(16, 16)",500,0.2,2,1.6
IMG_3361.jpg,2,6,383.6,1512.4,1518.4,136.2,-77.91,1518.4,136.2,150879,206795,3309.2,0.7296,152218,1.6,0.825,188605.0,2946.2,False,none,94302.5,1841.4,"(16, 16)",500,0.2,2,1.6
IMG_3361.jpg,3,6,2227.1,1331.1,98.6,2142.7,-3.07,2142.7,98.6,96745,211173,4482.5,0.4581,98927,1.026,1.164,188605.0,2946.2,False,none,94302.5,1841.4,"(16, 16)",500,0.2,2,1.6
IMG_3361.jpg,4,6,1775.5,1221.2,159.0,1944.4,-5.6,1944.4,159.0,91860,309143,4206.8,0.2971,93864,0.974,1.056,188605.0,2946.2,False,none,94302.5,1841.4,"(16, 16)",500,0.2,2,1.6
IMG_3361.jpg,5,6,2635.7,1387.0,60.4,1820.6,-1.03,1820.6,60.4,74156,109884,3762.0,0.6749,76025,0.786,0.989,188605.0,2946.2,False,none,94302.5,1841.4,"(16, 16)",500,0.2,2,1.6
IMG_3361.jpg,6,6,3225.9,1134.5,252.2,1862.2,-13.18,1862.2,252.2,39993,469662,4228.7,0.0852,43698,0.424,1.011,188605.0,2946.2,False,none,94302.5,1841.4,"(16, 16)",500,0.2,2,1.6
IMG_3365.jpg,1,6,844.5,1187.9,1004.6,575.8,-59.82,1004.6,575.8,126959,578403,3160.7,0.2195,57343,1.528,0.596,166174.0,2696.9,False,none,83087.0,1685.5,"(16, 16)",500,0.2,2,1.6
IMG_3365.jpg,2,6,1842.4,1096.3,124.7,1259.3,-10.57,1259.3,124.7,111502,156999,2767.9,0.7102,112778,1.342,0.747,166174.0,2696.9,False,none,83087.0,1685.5,"(16, 16)",500,0.2,2,1.6
IMG_3365.jpg,3,6,347.0,1293.3,1842.4,224.3,-86.74,1842.4,224.3,84691,413169,4133.3,0.205,85435,1.019,1.093,166174.0,2696.9,False,none,83087.0,1685.5,"(16, 16)",500,0.2,2,1.6
IMG_3365.jpg,4,6,2057.0,1238.5,105.4,1929.7,-8.86,1929.7,105.4,81483,203467,4070.2,0.4005,83430,0.981,1.145,166174.0,2696.9,False,none,83087.0,1685.5,"(16, 16)",500,0.2,2,1.6
IMG_3365.jpg,5,6,1596.8,1162.3,139.4,1772.7,-8.34,1772.7,139.4,74140,247035,3824.2,0.3001,75993,0.892,1.052,166174.0,2696.9,False,none,83087.0,1685.5,"(16, 16)",500,0.2,2,1.6
IMG_3365.jpg,6,6,2941.4,1072.5,238.1,1598.3,-18.62,1598.3,238.1,23714,380494,3672.8,0.0623,26881,0.285,0.948,166174.0,2696.9,False,none,83087.0,1685.5,"(16, 16)",500,0.2,2,1.6
IMG_3368.jpg,1,5,2076.7,1156.5,212.8,1443.8,-7.7,1443.8,212.8,157285,307283,3313.3,0.5119,158524,1.892,1.0,166274.0,2310.2,False,none,83137.0,1443.8,"(16, 16)",500,0.2,2,1.6
IMG_3368.jpg,2,5,963.2,1045.6,867.4,526.6,-89.59,867.4,526.6,100913,456776,2788.0,0.2209,45946,1.214,0.601,166274.0,2310.2,False,none,83137.0,1443.8,"(16, 16)",500,0.2,2,1.6
IMG_3368.jpg,3,5,2367.7,1061.2,100.3,1097.2,-9.29,1097.2,100.3,83137,110088,2395.0,0.7552,84244,1.0,0.76,166274.0,2310.2,False,none,83137.0,1443.8,"(16, 16)",500,0.2,2,1.6
IMG_3368.jpg,4,5,376.3,999.5,1644.7,218.6,-81.61,1644.7,218.6,75667,359589,3726.7,0.2104,77458,0.91,1.139,166274.0,2310.2,False,none,83137.0,1443.8,"(16, 16)",500,0.2,2,1.6
IMG_3368.jpg,5,5,1658.6,1167.1,205.7,1536.6,-9.11,1536.6,205.7,28790,316139,3484.7,0.0911,31701,0.346,1.064,166274.0,2310.2,False,none,83137.0,1443.8,"(16, 16)",500,0.2,2,1.6
IMG_3373.jpg,1,8,1080.6,1155.3,1692.6,337.7,-89.54,1692.6,337.7,177203,571534,4060.6,0.31,178298,2.071,1.018,171111.0,2660.9,False,none,85555.5,1663.1,"(16, 16)",500,0.2,2,1.6
IMG_3373.jpg,2,8,664.9,1326.5,1418.8,130.8,-68.48,1418.8,130.8,131647,185556,3099.1,0.7095,133027,1.539,0.853,171111.0,2660.9,False,none,85555.5,1663.1,"(16, 16)",500,0.2,2,1.6
IMG_3373.jpg,3,8,2510.8,1608.4,444.9,1085.6,-12.48,1085.6,444.9,99130,482950,3061.0,0.2053,59817,1.159,0.653,171111.0,2660.9,False,none,85555.5,1663.1,"(16, 16)",500,0.2,2,1.6
IMG_3373.jpg,4,8,375.8,1042.2,1864.3,237.4,-79.98,1864.3,237.4,94496,442654,4203.5,0.2135,96197,1.104,1.121,171111.0,2660.9,False,none,85555.5,1663.1,"(16, 16)",500,0.2,2,1.6
IMG_3373.jpg,5,8,2791.9,1012.2,117.8,1502.6,-11.85,1502.6,117.8,76615,176932,3240.6,0.433,78165,0.896,0.903,171111.0,2660.9,False,none,85555.5,1663.1,"(16, 16)",500,0.2,2,1.6
IMG_3373.jpg,6,8,1576.0,1202.2,86.9,1686.7,-11.42,1686.7,86.9,74558,146616,3547.3,0.5085,76224,0.871,1.014,171111.0,2660.9,False,none,85555.5,1663.1,"(16, 16)",500,0.2,2,1.6
IMG_3373.jpg,7,8,1964.5,1014.9,1639.5,264.2,-88.45,1639.5,264.2,59603,433189,3807.4,0.1376,62921,0.697,0.986,171111.0,2660.9,False,none,85555.5,1663.1,"(16, 16)",500,0.2,2,1.6
IMG_3373.jpg,8,8,3098.7,1110.2,1754.3,217.3,-89.15,1754.3,217.3,33660,381116,3943.0,0.0883,36989,0.393,1.055,171111.0,2660.9,False,none,85555.5,1663.1,"(16, 16)",500,0.2,2,1.6
